flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
2405,30.57852,103.946999,36.857208,117.215897,2015,0.721839,none
2402,36.857208,117.215897,30.57852,103.946999,2015,0.390805,none
2401,34.438157,108.764819,39.124352,117.3461,2015,0.770115,none
2392,24.544029,118.127701,39.124352,117.3461,2015,0.436782,none
2385,39.124352,117.3461,34.438157,108.764819,2015,0.572414,bth
2368,39.124352,117.3461,24.544029,118.127701,2015,0.572414,bth
2362,34.438157,108.764819,26.538521,106.800697,2015,0.770115,none
2359,26.538521,106.800697,34.438157,108.764819,2015,0.471264,none
2358,30.783751,114.208099,19.934851,110.4589,2015,0.425287,none
2354,19.934851,110.4589,30.783751,114.208099,2015,0.526437,none
2316,30.2295,120.434402,41.639839,123.483398,2015,0.602299,yrd
2310,36.857208,117.215897,22.63925,113.8106,2015,0.390805,none
2309,27.91222,120.851898,31.14337,121.805199,2015,0.324138,none
2306,41.639839,123.483398,30.2295,120.434402,2015,0.445977,none
2302,31.14337,121.805199,27.91222,120.851898,2015,0.772414,yrd
2300,22.63925,113.8106,36.857208,117.215897,2015,0.63908,prd
2289,34.438157,108.764819,28.196667,113.220833,2015,0.770115,none
2286,28.196667,113.220833,34.438157,108.764819,2015,0.510345,none
2283,30.2295,120.434402,37.746891,112.628403,2015,0.602299,yrd
2283,26.538521,106.800697,29.71921,106.641602,2015,0.471264,none
2277,37.746891,112.628403,30.2295,120.434402,2015,0.328736,none
2276,22.608259,108.172401,30.783751,114.208099,2015,0.4,none
2276,22.63925,113.8106,22.608259,108.172401,2015,0.63908,prd
2275,22.608259,108.172401,22.63925,113.8106,2015,0.4,none
2274,31.742041,118.862,26.538521,106.800697,2015,0.43908,yrd
2269,28.196667,113.220833,25.935061,119.6632,2015,0.510345,none
2269,25.935061,119.6632,28.196667,113.220833,2015,0.374713,none
2269,26.538521,106.800697,31.742041,118.862,2015,0.471264,none
2268,23.392429,113.298698,26.538521,106.800697,2015,0.675862,prd
2261,26.538521,106.800697,23.392429,113.298698,2015,0.471264,none
